game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_black_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
88add8ea-642c-4400-ac07-5989203bb21f,1,1,Fabiano Caruana,e4,e2e4,e2,e4,P,White,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,31,e4
88add8ea-642c-4400-ac07-5989203bb21f,2,1,Magnus Carlsen,c5,c7c5,c7,c5,P,Black,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,e4|c5
88add8ea-642c-4400-ac07-5989203bb21f,3,2,Fabiano Caruana,Nf3,g1f3,g1,f3,N,White,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,1,1,0,0,0,0,28,7,3,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,e4|c5|Nf3
88add8ea-642c-4400-ac07-5989203bb21f,4,2,Magnus Carlsen,Nc6,b8c6,b8,c6,N,Black,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,1,1,0,0,0,0,28,7,3,1,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,e4|c5|Nf3|Nc6
88add8ea-642c-4400-ac07-5989203bb21f,5,3,Fabiano Caruana,Bb5,f1b5,f1,b5,B,White,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,e4|c5|Nf3|Nc6|Bb5
88add8ea-642c-4400-ac07-5989203bb21f,6,3,Magnus Carlsen,g6,g7g6,g7,g6,P,Black,r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,2,6,7,0,0,0,0,1,4,6,28,e4|c5|Nf3|Nc6|Bb5|g6
88add8ea-642c-4400-ac07-5989203bb21f,7,4,Fabiano Caruana,Bxc6,b5c6,b5,c6,B,White,r1bqkbnr/pp1ppp1p/2B3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,16,15,8,8,1,1,2,2,2,1,2,2,3,0,6,7,1,1,0,1,0,0,25,7,3,1,0,3,0,0,0,0,0,0,1,1,6,7,0,0,0,0,1,1,6,28,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6
88add8ea-642c-4400-ac07-5989203bb21f,8,4,Magnus Carlsen,dxc6,d7c6,d7,c6,P,Black,r1bqkbnr/pp2pp1p/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,7,1,1,0,0,0,0,25,7,3,1,0,0,0,0,0,0,0,0,1,2,5,7,0,0,0,0,1,2,5,28,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6
88add8ea-642c-4400-ac07-5989203bb21f,9,5,Fabiano Caruana,d3,d2d3,d2,d3,P,White,r1bqkbnr/pp2pp1p/2p3p1/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,6,2,1,0,0,0,0,25,6,4,1,0,0,0,0,0,0,0,0,1,2,5,7,0,0,0,0,1,2,5,28,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3
88add8ea-642c-4400-ac07-5989203bb21f,10,5,Magnus Carlsen,Bg7,f8g7,f8,g7,B,Black,r1bqk1nr/pp2ppbp/2p3p1/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,6,2,1,0,0,0,0,25,6,4,1,0,0,0,0,0,0,0,0,1,2,6,6,0,0,0,0,1,2,8,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7
88add8ea-642c-4400-ac07-5989203bb21f,11,6,Fabiano Caruana,h3,h2h3,h2,h3,P,White,r1bqk1nr/pp2ppbp/2p3p1/2p5/4P3/3P1N1P/PPP2PP1/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,5,3,1,0,0,0,0,25,5,5,1,0,0,0,0,0,0,0,0,1,2,6,6,0,0,0,0,1,2,8,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3
88add8ea-642c-4400-ac07-5989203bb21f,12,6,Magnus Carlsen,Nf6,g8f6,g8,f6,N,Black,r1bqk2r/pp2ppbp/2p2np1/2p5/4P3/3P1N1P/PPP2PP1/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,5,3,1,0,0,0,0,25,5,5,1,0,0,0,0,0,0,0,0,1,3,6,5,0,0,0,0,1,5,8,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6
88add8ea-642c-4400-ac07-5989203bb21f,13,7,Fabiano Caruana,Nc3,b1c3,b1,c3,N,White,r1bqk2r/pp2ppbp/2p2np1/2p5/4P3/2NP1N1P/PPP2PP1/R1BQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,5,5,4,1,0,0,0,0,22,5,8,1,0,0,0,0,0,0,0,0,1,3,6,5,0,0,0,0,1,5,8,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3
88add8ea-642c-4400-ac07-5989203bb21f,14,7,Magnus Carlsen,Nd7,f6d7,f6,d7,N,Black,r1bqk2r/pp1nppbp/2p3p1/2p5/4P3/2NP1N1P/PPP2PP1/R1BQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,5,5,4,1,0,0,0,0,22,5,8,1,0,0,0,0,0,0,0,0,1,2,7,5,0,0,0,0,1,2,11,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7
88add8ea-642c-4400-ac07-5989203bb21f,15,8,Fabiano Caruana,Be3,c1e3,c1,e3,B,White,r1bqk2r/pp1nppbp/2p3p1/2p5/4P3/2NPBN1P/PPP2PP1/R2QK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,5,5,1,0,0,0,0,19,5,11,1,0,0,0,0,0,0,0,0,1,2,7,5,0,0,0,0,1,2,11,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3
88add8ea-642c-4400-ac07-5989203bb21f,16,8,Magnus Carlsen,e5,e7e5,e7,e5,P,Black,r1bqk2r/pp1n1pbp/2p3p1/2p1p3/4P3/2NPBN1P/PPP2PP1/R2QK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,5,5,1,0,0,0,0,19,5,11,1,0,0,0,0,0,0,0,0,2,2,6,5,0,0,0,0,2,2,10,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5
88add8ea-642c-4400-ac07-5989203bb21f,17,9,Fabiano Caruana,O-O,e1g1,e1,g1,K,White,r1bqk2r/pp1n1pbp/2p3p1/2p1p3/4P3/2NPBN1P/PPP2PP1/R2Q1RK1,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,5,5,1,0,0,0,0,19,5,11,1,0,0,0,0,0,0,0,0,2,2,6,5,0,0,0,0,2,2,10,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5|O-O
88add8ea-642c-4400-ac07-5989203bb21f,18,9,Magnus Carlsen,b6,b7b6,b7,b6,P,Black,r1bqk2r/p2n1pbp/1pp3p1/2p1p3/4P3/2NPBN1P/PPP2PP1/R2Q1RK1,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,5,5,1,0,0,0,0,19,5,11,1,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,2,3,9,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5|O-O|b6
88add8ea-642c-4400-ac07-5989203bb21f,19,10,Fabiano Caruana,Nh2,f3h2,f3,h2,N,White,r1bqk2r/p2n1pbp/1pp3p1/2p1p3/4P3/2NPB2P/PPP2PPN/R2Q1RK1,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,6,4,1,0,0,0,0,19,8,8,1,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,2,3,9,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5|O-O|b6|Nh2
88add8ea-642c-4400-ac07-5989203bb21f,20,10,Magnus Carlsen,Nf8,d7f8,d7,f8,N,Black,r1bqkn1r/p4pbp/1pp3p1/2p1p3/4P3/2NPB2P/PPP2PPN/R2Q1RK1,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,6,4,1,0,0,0,0,19,8,8,1,0,0,0,0,0,0,0,0,2,3,4,6,0,0,0,0,2,3,6,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5|O-O|b6|Nh2|Nf8
88add8ea-642c-4400-ac07-5989203bb21f,21,11,Fabiano Caruana,f4,f2f4,f2,f4,P,White,r1bqkn1r/p4pbp/1pp3p1/2p1p3/4PP2/2NPB2P/PPP3PN/R2Q1RK1,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,4,5,4,2,0,0,0,0,19,7,8,2,0,0,0,0,0,0,0,0,2,3,4,6,0,0,0,0,2,3,6,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5|O-O|b6|Nh2|Nf8|f4
88add8ea-642c-4400-ac07-5989203bb21f,22,11,Magnus Carlsen,exf4,e5f4,e5,f4,P,Black,r1bqkn1r/p4pbp/1pp3p1/2p5/4Pp2/2NPB2P/PPP3PN/R2Q1RK1,0,0,0,0,0,0,14,15,7,8,1,1,1,2,2,1,2,2,3,4,4,5,4,1,0,0,0,0,19,7,8,1,0,0,0,0,0,0,0,1,1,3,4,6,0,0,0,1,1,3,6,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6|Nc3|Nd7|Be3|e5|O-O|b6|Nh2|Nf8|f4|exf4
