game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_black_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence,eval,prev_eval,diff_eval
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,1,1,Fabiano Caruana,e4,e2e4,e2,e4,P,White,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,31,e4,0.14,0.0,0.14
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,2,1,Magnus Carlsen,c5,c7c5,c7,c5,P,Black,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,e4|c5,-0.47,0.0,-0.47
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,3,2,Fabiano Caruana,Nf3,g1f3,g1,f3,N,White,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,1,1,0,0,0,0,28,7,3,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,e4|c5|Nf3,0.35,0.14,0.21
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,4,2,Magnus Carlsen,Nc6,b8c6,b8,c6,N,Black,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,1,1,0,0,0,0,28,7,3,1,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,e4|c5|Nf3|Nc6,-0.47,-0.47,0.0
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,5,3,Fabiano Caruana,Bb5,f1b5,f1,b5,B,White,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,e4|c5|Nf3|Nc6|Bb5,0.22,0.35,-0.13
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,6,3,Magnus Carlsen,g6,g7g6,g7,g6,P,Black,r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,7,1,1,1,0,0,0,25,7,3,1,3,0,0,0,0,0,0,0,1,2,6,7,0,0,0,0,1,4,6,28,e4|c5|Nf3|Nc6|Bb5|g6,-0.37,-0.47,0.1
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,7,4,Fabiano Caruana,Bxc6,b5c6,b5,c6,B,White,r1bqkbnr/pp1ppp1p/2B3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,16,15,8,8,1,1,2,2,2,1,2,2,3,0,6,7,1,1,0,1,0,0,25,7,3,1,0,3,0,0,0,0,0,0,1,1,6,7,0,0,0,0,1,1,6,28,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6,0.39,0.22,0.17
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,8,4,Magnus Carlsen,dxc6,d7c6,d7,c6,P,Black,r1bqkbnr/pp2pp1p/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,7,1,1,0,0,0,0,25,7,3,1,0,0,0,0,0,0,0,0,1,2,5,7,0,0,0,0,1,2,5,28,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6,-0.59,-0.37,-0.22
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,9,5,Fabiano Caruana,d3,d2d3,d2,d3,P,White,r1bqkbnr/pp2pp1p/2p3p1/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,6,2,1,0,0,0,0,25,6,4,1,0,0,0,0,0,0,0,0,1,2,5,7,0,0,0,0,1,2,5,28,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3,0.56,0.39,0.17
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,10,5,Magnus Carlsen,Bg7,f8g7,f8,g7,B,Black,r1bqk1nr/pp2ppbp/2p3p1/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,6,2,1,0,0,0,0,25,6,4,1,0,0,0,0,0,0,0,0,1,2,6,6,0,0,0,0,1,2,8,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7,-0.47,-0.59,0.12
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,11,6,Fabiano Caruana,h3,h2h3,h2,h3,P,White,r1bqk1nr/pp2ppbp/2p3p1/2p5/4P3/3P1N1P/PPP2PP1/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,5,3,1,0,0,0,0,25,5,5,1,0,0,0,0,0,0,0,0,1,2,6,6,0,0,0,0,1,2,8,25,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3,0.46,0.56,-0.1
e8a1c5ea-9932-42c3-9f8c-e8116a50cd4e,12,6,Magnus Carlsen,Nf6,g8f6,g8,f6,N,Black,r1bqk2r/pp2ppbp/2p2np1/2p5/4P3/3P1N1P/PPP2PP1/RNBQK2R,0,0,0,0,0,0,15,15,8,8,1,1,1,2,2,1,2,2,3,3,6,5,3,1,0,0,0,0,25,5,5,1,0,0,0,0,0,0,0,0,1,3,6,5,0,0,0,0,1,5,8,22,e4|c5|Nf3|Nc6|Bb5|g6|Bxc6|dxc6|d3|Bg7|h3|Nf6,-0.56,-0.47,-0.09
